當年累計(民國年月),阿根廷(MillionUSD),巴西(MillionUSD),加拿大(MillionUSD),智利(MillionUSD),墨西哥(MillionUSD),美國(MillionUSD)
10112,292,1670,2424,234,743,57304
10212,335,1561,2194,219,733,60749
10312,281,1352,2265,203,773,63873
10412,275,980,2080,184,717,60614
10512,198,699,1818,176,672,54081
10612,215,835,2030,183,764,55642
10712,188,883,2185,181,816,62774
10812,133,879,2111,152,749,65076
10912,153,815,1983,127,627,71252
11012,181,1205,2534,182,756,96876
11112,161,1296,2829,164,942,112672
11212,84,919,2280,128,875,99101
11312,68,775,2258,124,826,105580
11402,15,116,356,20,120,14917
